prompt,completion
Me and the father of my child have been dating for a year. We had a big argument and at first he wanted to work it out. But with time he started asking others and they told him to leave me. Now he wants me to wait on him to mature. He wants to talk to other people. Then come back in four years. He doesn't want to deal with me while I'm pregnant. He doesn't take me to the doctor or anything. I feel alone. How do I handle this situation?,"It sounds like you are feeling very alone and unsupported right now. It is understandable that you would feel this way, especially given that you are pregnant. It is important to reach out to family and friends for support during this time. You should also consider talking to a therapist or counselor, who can help you manage your emotions and provide guidance on how to cope with this situation."
"I can't seem to feel any emotion except anxiety, not even for myself.","It is possible that you are experiencing symptoms of an anxiety disorder. Anxiety disorders are the most common type of mental illness, and they can make it difficult to cope with everyday life. Symptoms of anxiety can include feeling restless, irritable, and easily fatigued; having difficulty concentrating; and experiencing muscle tension and sleep disturbances. If you are experiencing these symptoms, it is important to talk to a mental health professional."
"why do we allow one or few bad experiences where we felt worthless, to dictate how we view ourselves? Why are we our worst enemies? Why do we chose to focus on the ones who make us feel bad, and blind ourselves of the ones who love us?","There are a few possible explanations for why we might allow bad experiences to dictate how we view ourselves. One possibility is that we tend to dwell on negative experiences more than positive ones. This means that the negative experiences stand out more in our minds and have a greater impact on our self-image. Another possibility is that we compare ourselves to others and focus on our own shortcomings. This can lead us to feel bad about ourselves and our worth. Finally, it is possible that we have low self-esteem to begin with, which causes us to focus on the negative experiences more and reinforces our negative view of ourselves."
"I have major depression, severe, PTSD, anxiety disorder, and personality disorder. I had an appointment with my doctor. I was very upset, and I shared with him about that particular drug.","It is understandable that you are feeling upset, given your diagnosis and the drugs you are taking. However, it is important to discuss your concerns with your doctor so that you can make an informed decision about your treatment."
do i need a therapist,"There is no one-size-fits-all answer to this question, as the need for a therapist depends on a variety of individual factors. However, if you are struggling with mental health issues or experiencing difficulty coping with life stressors, seeking professional help may be beneficial. A therapist can provide support and guidance as you work through your challenges, and can also offer coping and problem-solving strategies that can help you improve your overall well-being."
how do i know of im actually depressed or not?,"There is no one answer to this question, as everyone experiences depression differently. However, some common symptoms of depression include feeling persistently sad or down, losing interest in activities that used to bring joy, feeling fatigue or low energy, having difficulty concentrating, feeling worthless or hopeless, and experiencing changes in appetite or sleep patterns. If you are experiencing several of these symptoms for two weeks or more, it may be indicative of clinical depression and you should consult with a mental health professional."
should i tell people about me going to the ER for suicidal tendencies,"If you are struggling with suicidal thoughts, it is important to tell someone who can help – whether that is a close friend, family member, therapist, or emergency medical professional. Try to find someone who will understand and be supportive, and who can connect you with resources to get additional help."
I feel like I have to be promiscuous in order to keep people around? It started after I got raped by my ex-boyfriend.,"There is no ""right"" or ""wrong"" answer to this question - ultimately, you need to do whatever feels right for you. However, it is worth noting that you do not need to be promiscuous in order to keep people around. If you feel like you are being pressured into something that you're not comfortable with, then it is probably not a healthy relationship."
I feel lazy and numb. I have no interest in things.,You may be experiencing depression or a loss of interest in activities (anhedonia). It's important to speak with a mental health professional to discuss your symptoms and find out if you need treatment.
"I cant understand my brain at all, i need help","There could be many reasons why you are struggling to understand your brain. It could be due to a neurological condition, a mental health disorder, or simply because you are not getting enough sleep. If you are concerned about your ability to understand your brain, you should talk to a doctor or mental health professional."
"My boyfriend and I have been dating for almost a year. We go to different schools, and we don't see each other that often. I just feel very paranoid that there's someone else or that he could be hiding something from me.","There's no need to be paranoid - if your boyfriend loves you, he'll be faithful to you. However, it's important to communicate with each other and to make sure you're both on the same page in terms of your relationship. If you're feeling insecure, talk to your boyfriend about it and see if there's anything he can do to help put your mind at ease."
My depression and social anxiety has gotten so bad,"I'm sorry to hear that. Depression and anxiety can be very difficult to deal with, but there are treatments available that can help. If you feel like you are struggling, please reach out to a mental health professional for help."
Is it bad that I can't remember the day I attempted?,"Yes, it is bad that you cannot remember the day you attempted the climb."
physical reactions to internal thought,"There is a lot of research that indicates that there are physical reactions to internal thought. For example, studies have shown that people who have negative thoughts about themselves tend to have higher levels of stress hormones, such as cortisol, in their bodies. Additionally, research has shown that people who ruminate on negative thoughts are more likely to experience depression and anxiety."
I can’t control my thoughts TW: death/pain,"If you're having thoughts that you can't control, it may be helpful to speak to a mental health professional. It could be that you're experiencing some form of anxiety or depression, and they will be able to help you manage your thoughts and feelings. If you're having thoughts about death or pain, it's important to seek help immediately, as these could be signs of suicidal ideation."
Self harm--how to get better,"There is no single answer to this question, as different people will have different experiences with self-harm and different strategies may work for different people. However, some general tips for how to get better may include:

-Identifying your triggers and learning to cope with them in healthier ways
-Seeking professional help from a therapist or counselor
-Finding a support group for people who self-harm
-Developing a hobby or activity that you can turn to when you feel the urge to self-harm
-Practicing relaxation techniques such as deep breathing or yoga
-Journaling or writing about your feelings
-Sticking to a regular sleep schedule and eating healthy meals"
"IDK what to do now, seriously leaving might be the best thing now","It sounds like you are feeling stuck and uncertain about what to do next. While it can be difficult to make big decisions, it may be helpful to consult with a trusted friend or family member to get some clarity and perspective. Additionally, there are many resources available to help you explore your options and make the best decision for yourself."
Almost Did the Irreversible Act,"It is possible that the person almost did the irreversible act, but it is also possible that they did not. It is not possible to know for sure without further information."
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,"I'm sorry to hear that you're feeling this way. It sounds like you're going through a tough time. I hope you can find some support from friends or family members. If you're feeling really struggling, please reach out to a mental health professional for help."
Am I OK? Is my life going to be OK?,"There is no one-size-fits-all answer to this question, as everyone's life is different and what may be considered ""OK"" for one person may not be considered as such by another. However, in general, if you are happy with your life and feel like you are making positive progress, then it is likely that things will be OK for you."
"14m, idk what to do","There are a few things you could do in this situation:

1. Talk to your teacher or another adult at school about what's going on. They may be able to offer some advice or help you figure out a plan.

2. See if there are any after-school clubs or activities that you're interested in. This can help you make new friends and give you something to do after school.

3. Spend time with the friends you do have. See if you can do things together outside of school, like going to the park or getting ice cream.

4. Talk to your parents about how you're feeling. They may be able to offer some support and advice."
"My son stole my debit card and lied about it. It's not the first time he has lied. I don't know what to do anymore. I don't know if I should punish him or make him do something. I've tried talking to him and asking if anything was wrong. I have grounded him, but nothing works. What should I do?","There are a few things you can do in this situation. First, you can try to talk to your son again and see if he is willing to open up about why he is lying. It could be that he is lying to cover up something else that is going on in his life that he is struggling with. If he is not willing to talk, then you may need to consider other options, such as therapy or counseling. You may also want to consider imposing stricter consequences for his lying, such as a longer grounding period."
Information about unspecified mood disorder?,"There is not a lot of specific information available about unspecified mood disorder, as it is a relatively broad category that can encompass a number of different conditions. However, some common symptoms of mood disorders can include irritability, sadness, changes in sleep or appetite, difficulty concentrating, and fatigue. If you think you may be struggling with a mood disorder, it is important to talk to a mental health professional who can help you get a more accurate diagnosis and develop a treatment plan."
"My brother just broke up with his girlfriend. While they were dating for the past two years, her son spent the weekends with me and my mother. Now she doesn't think her son should have any interaction with us. How should we approach the situation? Is she doing the right thing for her child?","It's understandable that the mother would want to protect her child from any potential hurt after the breakup, but it's important to consider what's best for the child in this situation. If he has formed a strong bond with you and your family, it would be unfair to abruptly cut him off from that. It's possible to have a cordial relationship with your ex's family, even if you're no longer together - and it's something you should try to encourage."
